,diaSourceId,visit,detector,band,diaObjectId,ssObjectId,parentDiaSourceId,midpointMjdTai,bboxSize,time_processed,ra,dec,raErr,decErr,ra_dec_Cov,x,y,xErr,yErr,apFlux,apFluxErr,snr,psfFlux,psfFluxErr,psfChi2,psfNdata,trailFlux,trailRa,trailDec,trailLength,trailAngle,dipoleMeanFlux,dipoleMeanFluxErr,dipoleFluxDiff,dipoleFluxDiffErr,dipoleLength,dipoleAngle,dipoleChi2,isDipole,dipoleFitAttempted,dipoleNdata,scienceFlux,scienceFluxErr,ixx,iyy,ixy,ixxPSF,iyyPSF,ixyPSF,extendedness,reliability,pixelFlags,pixelFlags_offimage,pixelFlags_edge,pixelFlags_interpolated,pixelFlags_saturated,pixelFlags_cr,pixelFlags_bad,pixelFlags_suspect,pixelFlags_interpolatedCenter,pixelFlags_saturatedCenter,pixelFlags_crCenter,pixelFlags_suspectCenter,centroid_flag,apFlux_flag,apFlux_flag_apertureTruncated,psfFlux_flag,psfFlux_flag_noGoodPixels,psfFlux_flag_edge,forced_PsfFlux_flag,forced_PsfFlux_flag_noGoodPixels,forced_PsfFlux_flag_edge,shape_flag,shape_flag_no_pixels,shape_flag_not_contained,shape_flag_parent_source,trail_flag_edge,pixelFlags_streak,pixelFlags_streakCenter,pixelFlags_injected,pixelFlags_injectedCenter,pixelFlags_injected_template,pixelFlags_injected_templateCenter,pixelFlags_nodata,pixelFlags_nodataCenter,instrument,day_obs,physical_filter
1128,191931125570994284,2024120800350,4,g,0,0,0,60653.17786657992,12,2025-03-03 03:44:15.103740,53.294804669404925,-28.072774291504413,,,,3540.0,3942.0,,,-2716.5080624893308,447.0859810225743,5.062558174133301,-1057.5721732767,219.6043600107226,635.2999,625,,,,,,,,,,,,,False,False,0,-618.084367883973,226.3924250947732,0.4877721424957345,0.5610512810319578,0.4179447518406028,0.3271129323600422,0.3455559424594946,-0.031333250623548,,0.012424312,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,LSSTComCam,20241208,g_01
1147,191579030611296394,2024112800116,8,g,0,0,0,60643.05204714129,17,2025-03-03 03:31:09.388431,52.767777093199406,-28.50943220924165,4.0785402e-05,7.564486e-05,-8.6604185e-10,2038.507525938437,3857.1241418844015,1.3888386,0.7825547,-1073.0321851018816,312.8050230884854,5.454176425933838,-774.0749979953035,134.77844731931967,685.77234,625,-983.3204692965794,52.76780081304389,-28.50946092406997,2.4714614228812164,143.5019598772847,,,,,,,,False,False,0,-795.9293253448216,131.2728016745991,0.7494141677843853,0.2401136831811692,-0.2456352270451759,0.2379922932692258,0.2363994938716862,-0.0194877945360817,0.9990513118446276,0.025872262,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,LSSTComCam,20241128,g_01
1160,191543827964625013,2024112700099,3,i,0,0,0,60642.06015609962,13,2025-03-03 03:27:43.799504,37.80114194102168,6.624744660005562,3.814672e-05,3.0366638e-05,-4.638449e-10,1702.903004023571,3152.1044478609865,0.7497959,0.46025723,-2287.336801096797,690.2413526941193,5.0978102684021,-1504.2869079089116,298.6604264056697,635.7939,625,-1831.5861073263648,37.80111669351022,6.624714635522318,2.0144269360912896,108.8185155469028,,,,,,,,False,False,0,-1459.244733743971,286.361984471211,0.5096358239374129,0.0424976005716379,-0.0932519117227736,0.1988528014173505,0.2645271335006292,0.0063948402491663,0.1908738098887681,0.0015860513,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,LSSTComCam,20241127,i_06
1260,191614315885756491,2024112900210,1,r,0,0,0,60644.23009244213,11,2025-03-03 03:37:58.943006,52.84646854498477,-27.996827449196065,3.7304915e-05,4.9741717e-05,2.481872e-10,1926.18016944848,849.9222589029697,0.9121218,0.73747873,-783.7414742317051,375.6646765453918,5.035486698150635,-727.4134251326462,140.42782493721657,596.16003,625,-939.9244523522972,52.84647656214202,-27.99683122377198,2.048515961830782,56.70354841600437,,,,,,,,False,False,0,-760.2228483420528,141.3776857185879,0.3878906731434215,0.2524771590716151,0.2390005039451287,0.1942188100459121,0.1379006630221463,0.0084172635198012,0.9717019921574926,0.02750736,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,LSSTComCam,20241129,r_03
1388,191684936988623242,2024120100445,8,r,0,0,0,60646.31986113415,15,2025-03-03 03:30:09.783540,94.89692399747916,-24.71002266317723,5.846394e-05,4.6683173e-05,6.431005e-10,2922.5786981340384,871.6941770552907,0.7933134,1.1877518,-1566.482975071296,378.23491213783296,5.007588863372803,-1013.375428659031,193.62258941487835,577.43787,625,-1094.6565939451186,94.8969286644031,-24.709993849325404,2.0854206029462428,-56.94932279288341,,,,,,,,False,False,0,-1104.3231481721425,193.1480232074248,0.4028185237246012,0.29961127158182,-0.2468440583417531,0.313037129220327,0.3488821936487304,-0.0216228518409651,0.0303968595585538,0.040756144,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,LSSTComCam,20241201,r_03
1408,191227169689567408,2024111800100,3,r,0,0,0,60633.10155082757,18,2025-03-03 03:28:51.280793,59.32063583245162,-48.4322879479027,3.1862408e-05,3.419797e-05,-1.4761063e-10,1060.0004054931426,3840.341098258112,0.6031238,0.8706001,-1008.4053489253856,371.53013547056617,5.500749588012695,-1018.7518254786718,184.8330753754988,598.5514,625,-1068.3716169101056,59.32062041005874,-48.43229564580351,1.501601549071199,153.55644612055357,,,,,,,,False,False,0,-1076.7449830076494,181.5945054759132,0.3588168088008258,0.2977008076151931,-0.1080286181565514,0.2974863897157506,0.3502175333246098,0.0113974680577017,0.0014920812233929,0.03901644,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,LSSTComCam,20241118,r_03
1431,191262333673144403,2024111900081,6,r,0,0,0,60634.05373269096,22,2025-03-03 03:26:58.612533,52.83934153895592,-28.079068913436277,0.00015373332,0.00019186478,2.01085e-08,1821.932371178248,1297.192400897439,1.8465284,4.273857,-1412.5751996999606,435.40477682120166,5.568029403686523,-1112.6546082300936,225.5532335829492,626.63086,625,-1361.223468791128,52.83922705577851,-28.079169059274683,1.8306992720776727,-139.87385350593476,,,,,,,,False,False,0,-1090.7828106935565,227.7651330636704,0.117891872575958,0.4915264742560115,0.0054566936848907,0.3462811072577466,0.3053146488146028,-0.0139365447743728,0.0334151406873926,0.0089426655,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,LSSTComCam,20241119,r_03
1470,191825290043850824,2024120500087,0,g,0,0,0,60650.21706589692,14,2025-03-03 03:42:23.309500,52.700532795286605,-28.07701944961554,4.576169e-05,5.0034076e-05,1.4032676e-09,1491.4979180320315,958.78190582147,1.1625509,0.56891286,-107.24908916279674,311.71976824053013,5.273255348205566,-676.6968903343628,129.1780307317744,615.14685,625,-842.6100432748942,52.70049125825613,-28.07702703788824,2.1319478653903445,34.43546781330379,,,,,,,,False,False,0,-639.5549225731551,128.72262421525247,0.5758197093941365,0.0730735834774056,-0.1142625673287013,0.2241363419407323,0.2114359557567668,-0.0222895807987336,0.7274818470413428,0.032232568,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,LSSTComCam,20241205,g_01
1479,192001540498654156,2024121000393,7,r,0,0,0,60655.22593810753,11,2025-03-03 03:30:20.328021,106.2328045483346,-10.7504722875339,5.2227646e-05,4.0621053e-05,3.75541e-11,1185.9251666261816,1961.1742862817832,0.95586026,0.72971016,-2591.0151227116585,858.9608916245109,5.075063705444336,-1829.75840310216,360.77147062319534,611.7907,625,-1807.4550826015,106.2328137298628,-10.750469616843084,1.1120347838967488,56.74738739262851,,,,,,,,False,False,0,-2361.294335556492,354.6455110008308,0.2147231875902906,0.1588311437352089,-0.0544052657695115,0.2298010796040613,0.1818341847798873,0.0090551047616094,0.0429575189697677,0.00043622853,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,LSSTComCam,20241210,r_03
2062,191895892867940386,2024120700305,1,g,0,0,0,60652.195883894616,14,2025-03-03 03:42:25.891160,52.82669984870461,-28.184938110436807,2.5552981e-05,3.2716205e-05,1.3021198e-10,1412.3941329593376,2440.1530537498124,0.6076674,0.49815544,-530.544120233506,306.6829049779863,5.207780838012695,-696.7189779854089,130.08049133501936,596.8051,625,-644.2449330840583,52.82671793662104,-28.18492982008512,0.9344523239343354,17.428936679579618,,,,,,,,False,False,0,-649.2358856163231,129.28185487167886,0.1712746375753435,0.0885544853336218,-0.012831898385158,0.2140462279132524,0.2164978509757167,-0.0024713400263059,0.5699243301529299,0.047490615,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,LSSTComCam,20241207,g_01
2137,191754957811089471,2024120300121,1,g,0,0,0,60648.17547412623,12,2025-03-03 03:31:32.893737,52.90192133162138,-28.031013720563564,9.231354e-05,0.00018537372,-5.145753e-09,3382.406566439576,3830.8981149620568,3.3977273,1.7578754,-705.0675686029717,252.92645255088368,5.000809192657471,-441.4222819298054,92.25365149047192,616.01874,625,,,,,,,,,,,,,False,False,0,-433.7531851129486,91.00491989267786,,,,0.1549249230865555,0.1499965961555203,0.0017295966077615,,0.090840936,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,LSSTComCam,20241203,g_01
2944,191825312600817789,2024120500108,2,r,0,0,0,60650.22782437509,12,2025-03-03 03:24:53.134820,52.76466705513514,-27.991033691653644,3.5274457e-05,3.617784e-05,-8.7969444e-11,1028.9621463166793,2001.5559831047424,0.6422892,0.72467494,-585.8972188234329,366.074905955181,5.301319599151611,-729.4648759548238,138.73001094711242,589.3739,625,-689.5446852876061,52.76467520226459,-27.99104503669693,0.4615599515143017,1.086506670268093,,,,,,,,False,False,0,-727.1047034737064,138.60278361001497,0.1777287463521713,0.1622464635786584,-0.0048988696804643,0.1478842680114662,0.1968071172359201,0.0009974414978417,0.0008033710816937,0.037023768,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,LSSTComCam,20241205,r_03
